"ID","name","country","location","redemption_account","volume_required","start_date","end_date","redemption_purpose"
"","f020523","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020523"
"","f020742","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",274,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020742"
"","f021444","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021444"
"","f021525","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",899,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021525"
"","f021532","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",71,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021532"
"","f021536","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",595,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021536"
"","f021961","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",458,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021961"
"","f022111","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",65,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022111"
"","f022227","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",41,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022227"
"","f022289","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",52,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022289"
"","f022308","CN","CN-AH","Longli Jia Tuo Mountain Windfarm",35,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022308"
"","f022399","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",16,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022399"
"","f022566","CN","CN-XX","Longli Jia Tuo Mountain Windfarm",13,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022566"
"","f022687","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022687"
"","f022748","CN","CN-HA","Longli Jia Tuo Mountain Windfarm",130,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022748"
"","f022832","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",90,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022832"
"","f022853","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",198,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022853"
"","f023152","CN","CN-SD","Longli Jia Tuo Mountain Windfarm",212,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023152"
"","f023179","CN","CN-XX","Longli Jia Tuo Mountain Windfarm",7,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023179"
"","f023198","CN","CN-SN","Longli Jia Tuo Mountain Windfarm",1001,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023198"
"","f023200","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",161,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023200"
"","f023462","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",5,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023462"
"","f023534","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023534"
"","f023565","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",1405,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023565"
"","f023660","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",109,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023660"
"","f023662","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",256,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023662"
"","f023678","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",63,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023678"
"","f023853","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",115,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023853"
"","f023854","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",91,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023854"
"","f023855","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",103,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023855"
"","f023858","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023858"
"","f023859","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023859"
"","f023861","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",50,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023861"
"","f023868","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023868"
"","f023869","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",45,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023869"
"","f023870","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",42,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023870"
"","f023871","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",45,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023871"
"","f023876","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",46,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023876"
"","f023928","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",48,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023928"
"","f023977","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",50,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023977"
"","f023978","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",50,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023978"
"","f023980","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",49,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023980"
"","f023981","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",49,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023981"
"","f023982","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023982"
"","f023983","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023983"
"","f023984","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023984"
"","f023985","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",5,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023985"
"","f024006","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",96,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024006"
"","f024007","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",94,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024007"
"","f024008","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",80,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024008"
"","f024012","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",47,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024012"
"","f024013","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",55,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024013"
"","f024014","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",35,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024014"
"","f024015","CN","CN-XJ","Longli Jia Tuo Mountain Windfarm",393,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024015"
"","f024066","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",69,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024066"
"","f024081","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",58,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024081"
"","f024084","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",48,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024084"
"","f024136","CN","CN-JX","Guedin Windfarm",13,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f024136"
"","f024146","CN","CN-JX","Guedin Windfarm",14,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f024146"
"","f024147","CN","CN-JX","Guedin Windfarm",14,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f024147"
"","f024148","CN","CN-JX","Guedin Windfarm",14,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f024148"
"","f024182","CN","HK","Guedin Windfarm",3,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f024182"
"","f024468","CN","CN-GD","Guedin Windfarm",3,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f024468"
"","f030125","CN","CN-JS","Guedin Windfarm",1,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f030125"
"","f030384","CN","CN-GD","Guedin Windfarm",28,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f030384"
"","f032888","CN","CN-SD","Guedin Windfarm",91,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f032888"
"","f034047","CN","CN-ZJ","Guedin Windfarm",5,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f034047"
"","f034567","CN","CN-GD","Guedin Windfarm",12,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f034567"
"","f034581","CN","CN-GD","Guedin Windfarm",42,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f034581"
"","f034592","CN","CN-GD","Guedin Windfarm",13,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f034592"
"","f034658","CN","CN-GD","Guedin Windfarm",150,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f034658"
"","f034707","CN","CN-SD","Guedin Windfarm",148,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f034707"
"","f039515","CN","CN-CQ","Guedin Windfarm",55,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f039515"
"","f039800","CN","CN-SC","Guedin Windfarm",9,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f039800"
"","f040218","CN","CN-JS","Guedin Windfarm",23,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f040218"
"","f040332","CN","CN-GD","Guedin Windfarm",105,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f040332"
"","f043929","CN","CN-BJ","Guedin Windfarm",7,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f043929"
"","f044315","CN","CN-ZJ","Guedin Windfarm",8,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f044315"
"","f045505","CN","CN-NM","Guedin Windfarm",1,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f045505"
"","f047666","CN","CN-HL","Guedin Windfarm",4,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f047666"
"","f047843","CN","CN-FJ","Guedin Windfarm",159,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f047843"
"","f048135","CN","CN-CQ","Guedin Windfarm",45,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f048135"
"","f048968","CN","CN-SC","Guedin Windfarm",79,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f048968"
"","f050022","CN","CN-SH","Guedin Windfarm",29,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f050022"
"","f052447","CN","CN-XJ","Guedin Windfarm",32,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f052447"
"","f053173","CN","CN-GD","Guedin Windfarm",9,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f053173"
"","f054414","CN","CN-FJ","Guedin Windfarm",12,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f054414"
"","f054418","CN","CN-FJ","Guedin Windfarm",189,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f054418"
"","f054666","CN","CN-HN","Guedin Windfarm",7,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f054666"
"","f056226","CN","CN-GD","Guedin Windfarm",80,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f056226"
"","f056573","CN","CN-SC","Guedin Windfarm",7,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f056573"
"","f056611","CN","CN-XJ","Guedin Windfarm",20,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f056611"
"","f057070","CN","CN-AH","Guedin Windfarm",12,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f057070"
"","f057466","CN","CN-GD","Guedin Windfarm",1,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f057466"
"","f057618","CN","CN-FJ","Guedin Windfarm",33,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f057618"
"","f058349","CN","CN-GD","Guedin Windfarm",1,"2021-04-01","2021-04-30","Renewable energy purchase for node on the Filecoin network with minerID f058349"
