start_date,beneficiary,source,contract_id,minerID,volume_MWh,attestation_id,defaulted,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 32 - Filecoin MinerID: f03482,Longli Jia Tuo Mountain Windfarm,,,134,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 33 - Filecoin MinerID: f04443,Longli Jia Tuo Mountain Windfarm,,,1,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 34 - Filecoin MinerID: f05664,Longli Jia Tuo Mountain Windfarm,,,10,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 35 - Filecoin MinerID: f07945,Longli Jia Tuo Mountain Windfarm,,,8,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 36 - Filecoin MinerID: f07969,Longli Jia Tuo Mountain Windfarm,,,8,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 37 - Filecoin MinerID: f07998,Longli Jia Tuo Mountain Windfarm,,,3,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 38 - Filecoin MinerID: f08019,Longli Jia Tuo Mountain Windfarm,,,18,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 39 - Filecoin MinerID: f08094,Longli Jia Tuo Mountain Windfarm,,,76,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 40 - Filecoin MinerID: f08148,Longli Jia Tuo Mountain Windfarm,,,108,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 41 - Filecoin MinerID: f08157,Longli Jia Tuo Mountain Windfarm,,,40,,0,0,0,0,0,0,0,0,0
