"certificate","volume_MWh","order_folder","allocation"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",645,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_17"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_5",87,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_17"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10",858,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_17"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10",1985,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_42"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10",2492,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_41"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10",3455,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_23"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_10",2182,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_26"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11",1469,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_26"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_67"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_68"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_69"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_1",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_66"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_1",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_81"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_2",12,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_82"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_3",20,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_83"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_4",32,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_50"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_5",15,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_62"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_6",26,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_63"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_7",18,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_64"
"GO_Cancellation_ProtocolLabs-Miner ID f01234_2021_Belgium_162_certificate_8",31,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_51"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_1",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_138"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_1",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_139"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_1",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_140"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_1",4,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_87"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_75"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_76"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_77"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_151"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_152"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_153"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_2",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_154"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_3",11,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_143"
