contract_id,minerID,volume_MWh,attestation_id,defaulted,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
20211115_3D_PL_transaction_1_line_67,f01234,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_68,f01234,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_69,f01234,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_70,f066596,45,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_71,f066596,19,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_72,f0678914,13,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_73,f0678914,3,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_74,f0763337,93,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_75,f022142,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_76,f022142,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_77,f022142,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_78,f01051178,81,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_79,f01051828,9,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_80,f01175097,9,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_81,f01234,3,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_82,f01234,12,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_83,f01234,20,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_84,f0720636,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_85,f0720636,24,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_86,f0720636,46,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_87,f02576,4,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_88,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_89,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_90,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_91,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_92,f01278,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_93,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_94,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_95,f01278,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_96,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_97,f01278,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_98,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_99,f01278,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_100,f014365,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_101,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_102,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_103,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_104,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_105,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_106,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_107,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_108,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_109,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_110,f014365,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_111,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_112,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_113,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_114,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_115,f019104,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_116,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_117,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_118,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_119,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_120,f019104,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_121,f019104,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_122,f019104,2,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_123,f022142,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_124,f0728347,1,,0,0,0,0,0,0,0,0,0
20211115_3D_PL_transaction_1_line_125,f022142,8,,0,0,0,0,0,0,0,0,0
