"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete","allocation_cid"
"20211115_3D_PL_transaction_1_allocation_62","b23d20c8-f8d9-42ea-bcc6-935f1e00ad85","20211115_3D_PL_transaction_1_contract_62","f01234",15,0,0,0,0,0,0,0,0,0,"bafyreihxbetqfb6n7tuxe3q3voobcbfrq467rfx4kotsnaqxrmcgrtzp44"
"20211115_3D_PL_transaction_1_allocation_63","b0da09da-50af-4ab8-ba23-a809d3165ff8","20211115_3D_PL_transaction_1_contract_63","f01234",26,0,0,0,0,0,0,0,0,0,"bafyreih7m35qpqb263v4hss2ui4gnzs4u7pkgfxcvhoqigee7rvzmkjuce"
"20211115_3D_PL_transaction_1_allocation_64","6d3362b0-2c13-4232-a6e0-d6ad2bfe97e9","20211115_3D_PL_transaction_1_contract_64","f01234",18,0,0,0,0,0,0,0,0,0,"bafyreiad2hdhll2blgzpjnl5r6qemdukerntcvmlhblsc7sd57rzjayeh4"
"20211115_3D_PL_transaction_1_allocation_65","694afdb6-ae0c-4046-9e06-0f6ec0561ac6","20211115_3D_PL_transaction_1_contract_65","f014365",2,0,0,0,0,0,0,0,0,0,"bafyreihdx2bhwhjulqspjraedesbddwu6ysmn225ongctyqleohqozp6iq"
"20211115_3D_PL_transaction_1_allocation_66","c6a7c25c-9a1f-48a3-9cb7-5b607ab157f0","20211115_3D_PL_transaction_1_contract_66","f01234",2,0,0,0,0,0,0,0,0,0,"bafyreibg3stmw6ikmz3yrpai463mhtgia3lcr2uzewfz6sonjyxkyadqcu"
"20211115_3D_PL_transaction_1_allocation_67","36e490c4-ab97-406f-8542-8f844abbffab","20211115_3D_PL_transaction_1_contract_67","f01234",1,0,0,0,0,0,0,0,0,0,"bafyreid6ofvw5o6jlbg4c547ljuslrr5sbrlnyppwdhxor2fnduzk7ixda"
"20211115_3D_PL_transaction_1_allocation_68","2400edf3-8f69-4fe9-8f7f-072af5f1981e","20211115_3D_PL_transaction_1_contract_68","f01234",1,0,0,0,0,0,0,0,0,0,"bafyreibxrx2tnwdcvwdor67knj6gihggpgfolualocrmy7nghmkrhe2os4"
"20211115_3D_PL_transaction_1_allocation_69","e2e8558c-2316-4631-91f1-10c659a191a2","20211115_3D_PL_transaction_1_contract_69","f01234",1,0,0,0,0,0,0,0,0,0,"bafyreichykab5jjmtxfchds6evozab6upepikdrckzmikv7h7vbwrhk4my"
"20211115_3D_PL_transaction_1_allocation_70","58fb3071-dfc6-4c50-b459-f07a9f9185f5","20211115_3D_PL_transaction_1_contract_70","f066596",45,0,0,0,0,0,0,0,0,0,"bafyreih2hpzpswut4kk5u6ieoko4rlrrikoqooq4dtemk6f3iih4fktpoq"
"20211115_3D_PL_transaction_1_allocation_71","e0e3e0ee-90f6-43b2-a9ad-3acdddd2edd1","20211115_3D_PL_transaction_1_contract_71","f066596",19,0,0,0,0,0,0,0,0,0,"bafyreibnapxvgabvtpbecfndcrcr252u6b3lcecliwn3c35lr6sycnb6du"
"20211115_3D_PL_transaction_1_allocation_72","2ad0266b-d2a7-4756-8e7e-3de07ea6489e","20211115_3D_PL_transaction_1_contract_72","f0678914",13,0,0,0,0,0,0,0,0,0,"bafyreibfnpuuyqk7gaft2rz3kwaexzsvlopcaq7lss4rb6ah36zyu66she"
"20211115_3D_PL_transaction_1_allocation_73","4a6e3b80-381f-4bac-a28e-307af9d34ccf","20211115_3D_PL_transaction_1_contract_73","f0678914",3,0,0,0,0,0,0,0,0,0,"bafyreiftjote5unvkaqfankrrpefgt4xo7uzgzbgb2n4q6uattwc5q3kgu"
"20211115_3D_PL_transaction_1_allocation_74","d6c6e505-ff8f-4a55-97bd-12620d78dc52","20211115_3D_PL_transaction_1_contract_74","f0763337",93,0,0,0,0,0,0,0,0,0,"bafyreictbzkja3se5ux2mbberdozwd2nvwpsldexmhj362oeofdtqr27oq"
"20211115_3D_PL_transaction_1_allocation_75","8041fb10-8245-41a0-b073-a9fc7b6b3321","20211115_3D_PL_transaction_1_contract_75","f022142",1,0,0,0,0,0,0,0,0,0,"bafyreihecrciacqxnzr4jvyf6mimm5cunxqx5t2wi4esq5okym4duwgjvi"
"20211115_3D_PL_transaction_1_allocation_76","4a044217-d383-4caf-8245-60d0717457a7","20211115_3D_PL_transaction_1_contract_76","f022142",1,0,0,0,0,0,0,0,0,0,"bafyreifkkfhfdc5vbh6efl43r4xlrj7fchn3xk57tdgdsmys7cypbhxujy"
"20211115_3D_PL_transaction_1_allocation_77","f9845e27-f954-43c8-ad9e-43659ba666c8","20211115_3D_PL_transaction_1_contract_77","f022142",1,0,0,0,0,0,0,0,0,0,"bafyreiclyva2xw6rb5ogpafldv4bv3vbbxomlgj54ifng774f6ymh5l76m"
"20211115_3D_PL_transaction_1_allocation_78","d8ec82bf-60a0-4391-b5c5-4a4cc6f61f51","20211115_3D_PL_transaction_1_contract_78","f01051178",81,0,0,0,0,0,0,0,0,0,"bafyreigptraigafyn4ds2p5qj36ylfxv6dr6h5svfpa25jre4out7qrd4q"
"20211115_3D_PL_transaction_1_allocation_79","003ad183-6555-4231-a243-e8acf19f7002","20211115_3D_PL_transaction_1_contract_79","f01051828",9,0,0,0,0,0,0,0,0,0,"bafyreibyo2m7sekddtpr4l2apd5gemtf2uymdrpqz6bungm3sq376n4hea"
"20211115_3D_PL_transaction_1_allocation_80","6cf4159c-649b-46b7-9fa1-f26910a1974d","20211115_3D_PL_transaction_1_contract_80","f01175097",9,0,0,0,0,0,0,0,0,0,"bafyreifqsyfjyzbiwvt3icqqlsehwggc6likap4e252t724uke6h2wynya"
"20211115_3D_PL_transaction_1_allocation_81","87b80f60-e8f5-4280-8da9-778570bcb0aa","20211115_3D_PL_transaction_1_contract_81","f01234",3,0,0,0,0,0,0,0,0,0,"bafyreiepesbyf2nitscogmklfuwxcf5k4hrgbz2dfha62j4as7ez4jj3lu"
"20211115_3D_PL_transaction_1_allocation_82","1c40d9d7-5be9-49c5-afac-027f41b97b63","20211115_3D_PL_transaction_1_contract_82","f01234",12,0,0,0,0,0,0,0,0,0,"bafyreibb5e6acrv6j3tts25fj32e5twpu63uun2z3h6xo3r3dqb4s4p5k4"
"20211115_3D_PL_transaction_1_allocation_83","bfcd046f-2f78-4652-b8fd-b1df27c64fd2","20211115_3D_PL_transaction_1_contract_83","f01234",20,0,0,0,0,0,0,0,0,0,"bafyreiev6odmxu7bfl462utaed4xhsa7h3xlitgb6pjkhlvwvcite73uke"
"20211115_3D_PL_transaction_1_allocation_84","8a173975-2e2d-46db-ae6a-aeca46bd21a5","20211115_3D_PL_transaction_1_contract_84","f0720636",1,0,0,0,0,0,0,0,0,0,"bafyreifczytl7ghml7o3sodrnmpfqj2k5cw64ooalsbgn4wf5od3xavwwm"
"20211115_3D_PL_transaction_1_allocation_85","6095cd51-600f-43f8-ba0e-31c312b501fb","20211115_3D_PL_transaction_1_contract_85","f0720636",24,0,0,0,0,0,0,0,0,0,"bafyreidgf77uxhm3dhuaxnk4sdrs2y7lfdoiyayvrbexallbsabh5kb6yq"
"20211115_3D_PL_transaction_1_allocation_86","972d31cf-3cc0-4c3a-b2eb-5d7d1ea6ed7f","20211115_3D_PL_transaction_1_contract_86","f0720636",46,0,0,0,0,0,0,0,0,0,"bafyreif7wd3fftjwr22jn7yg2pi2fj6bw2t65hwbx55apoafp4z3nrezee"
"20211115_3D_PL_transaction_1_allocation_87","b0e7e625-c7c5-4322-add8-049a87d0cf14","20211115_3D_PL_transaction_1_contract_87","f02576",4,0,0,0,0,0,0,0,0,0,"bafyreih4724gnou6n5h2pbfnfdck3hc7bapcafbcsuqv35r43ztnpe34le"
"20211115_3D_PL_transaction_1_allocation_88","13caa7af-80f6-4cea-bb38-6406e085beeb","20211115_3D_PL_transaction_1_contract_88","f01278",1,0,0,0,0,0,0,0,0,0,"bafyreihflgr5n76g5ecetd4lybhmmtivuo5o4mntgu53rmbuqpdntkvu2a"
"20211115_3D_PL_transaction_1_allocation_89","3a240dfd-4d32-4d19-9c4a-424029e7ff4d","20211115_3D_PL_transaction_1_contract_89","f01278",1,0,0,0,0,0,0,0,0,0,"bafyreighvbbsxmfqk4xxqnfv4r7kfc32577zpet4ut3jhahk2i5p7k7vn4"
"20211115_3D_PL_transaction_1_allocation_90","0181803e-e001-43f6-bb67-fcddaca8ae78","20211115_3D_PL_transaction_1_contract_90","f01278",1,0,0,0,0,0,0,0,0,0,"bafyreiddhwceem3cqawjq7sfb2hqf4q5a7nfcnzkynimlg7ixwepl3lmkm"
"20211115_3D_PL_transaction_1_allocation_91","f760484f-e9c7-4f9d-b200-9eaef80a2d9f","20211115_3D_PL_transaction_1_contract_91","f01278",1,0,0,0,0,0,0,0,0,0,"bafyreig6oxpli67f4gotnxoqwjbsvgxmtyiz4odehjatelltim6wlq5hzm"
"20211115_3D_PL_transaction_1_allocation_92","68bc14e7-27a7-4751-860a-fdb10c20b80d","20211115_3D_PL_transaction_1_contract_92","f01278",2,0,0,0,0,0,0,0,0,0,"bafyreihtwcnw6duf7fj52ywfdxgssrqn7ckch56urx7bcewrnoeveh2yve"
