"tranche_id","productType","energySources","contractDate","deliveryDate","reportingStart","reportingEnd","sellerName","sellerAddress","country","region","volume_MWh","step2_order_complete","step3_match_complete","step4_contract_complete","step5_attestation_complete","step6_IPLDrecord_complete","step7_transaction_complete","step8_volta_complete","step9_finalRecord_complete"
"20211115_3D_PL_transaction_1_line_23","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,455 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_24","IREC","wind, solar","2021-11-15","2022-04-15","2021-03-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,752 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_25","IREC","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,545 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_26","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            3,651 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_27","IREC","wind, solar","2021-11-15","2022-04-15","2021-02-01","2021-02-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            4,497 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_28","IREC","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            2,926 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_29","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",268,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_30","IREC","wind, solar","2021-11-15","2022-04-15","2021-03-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",265,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_31","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",265,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_32","IREC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-01-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",265,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_33","IREC","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",265,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_34","IREC","wind, solar","2021-11-15","2022-04-15","2021-07-01","2021-07-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",265,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_35","IREC","wind, solar","2021-11-15","2022-04-15","2021-08-01","2021-08-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",265,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_36","IREC","wind, solar","2021-11-15","2022-04-15","2021-02-01","2021-02-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            2,968 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_37","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",257,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_38","IREC","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",257,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_39","IREC","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",257,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_40","IREC","wind, solar","2021-11-15","2022-04-15","2021-02-01","2021-02-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","",240,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_41","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            2,492 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_42","IREC","wind, solar","2021-11-15","2022-04-15","2020-07-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,985 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_43","IREC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-01-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,958 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_44","IREC","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,809 ",1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_45","IREC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-01-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","CN","","            1,356 ",1,1,0,0,0,0,0,0
