Environmental Product, Quantity ,Reporting Year / Vintage,Region/Country of Retirement,Retirement Notes,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   2 ,January 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,February 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,March 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,April 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,May 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,June 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   2 ,July 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy- Canada Solar and/or Wind,                   2 ,August 2021,N/A,Filecoin ID:: f019104,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,April 2021,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,April 2021,N/A,Filecoin ID:: f0728347,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   8 ,May 2021,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,May 2021,N/A,Filecoin ID:: f0728347,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,June 2021,N/A,Filecoin ID:: f01045784,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   8 ,June 2021,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,June 2021,N/A,Filecoin ID:: f0728347,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,July 2021,N/A,Filecoin ID:: f01045784,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   9 ,July 2021,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,July 2021,N/A,Filecoin ID:: f0728347,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,August 2021,N/A,Filecoin ID:: f01045784,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   9 ,August 2021,N/A,Filecoin ID:: f022142,,
GO -Denmark Solar and/or Wind,                   5 ,March 2021,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   3 ,July 2021,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   4 ,August 2021,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   2 ,7/1/20 - 3/31/21,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   3 ,7/1/20 - 3/31/21,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   3 ,7/1/20 - 3/31/21,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   4 ,January 2021,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   3 ,February 2021,Denmark,Filecoin ID:: f02576,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 11 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f066596,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   1 ,April 2021,N/A,Filecoin ID:: f0678914,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   1 ,May 2021,N/A,Filecoin ID:: f0678914,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   6 ,July 2021,N/A,Filecoin ID:: f0678914,,
GO -Denmark Solar and/or Wind,                   4 ,April 2021,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   3 ,May 2021,Denmark,Filecoin ID:: f02576,,
GO -Denmark Solar and/or Wind,                   4 ,June 2021,Denmark,Filecoin ID:: f02576,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,August 2021,N/A,Filecoin ID:: f0728347,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21, N/A,Filecoin ID:: f022142,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   7 ,May 2021, N/A,Filecoin ID:: f0763337,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 31 ,June 2021,N/A,Filecoin ID:: f0763337,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   3 ,May 2021,N/A,Filecoin ID:: f0828066,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 14 ,June 2021,N/A,Filecoin ID:: f0828066,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   2 ,July 2021,N/A,Filecoin ID:: f0828066,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   2 ,August 2021,N/A,Filecoin ID:: f0828066,,
REC - Green-e Energy- Canada Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   3 ,January 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   5 ,February 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   5 ,March 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   4 ,April 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   3 ,May 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   2 ,June 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   2 ,July 2021,N/A,Filecoin ID:: f098770,,
REC - Green-e Energy- Canada Solar and/or Wind,                   2 ,August 2021,N/A,Filecoin ID:: f098770,,
