"certificate","volume_MWh","order_folder","contract","minerID","contract_country","certificate_country","country_match","contract_region","certificate_region","region_match","contract_start","certificate_start","start_match","contract_end","certificate_end","end_match","cert_within_contract","country_region_and_certWithinContract"
"20220429_SP_delivery_80_certificate_80",90,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022832","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_81_certificate_81",200,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022853","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_82_certificate_82",215,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023152","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_83_certificate_83",8,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023179","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_84_certificate_84",1006,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023198","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_85_certificate_85",162,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023200","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_86_certificate_86",5,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023462","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_87_certificate_87",4,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023534","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_88_certificate_88",1412,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023565","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_89_certificate_89",110,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023660","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_90_certificate_90",259,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023662","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_91_certificate_91",63,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023678","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_92_certificate_92",116,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023853","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_93_certificate_93",92,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023854","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_94_certificate_94",104,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023855","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_95_certificate_95",44,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023858","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_96_certificate_96",44,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023859","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_97_certificate_97",50,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023861","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_98_certificate_98",44,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023868","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_99_certificate_99",46,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023869","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_100_certificate_100",42,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023870","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_101_certificate_101",45,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023871","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_102_certificate_102",46,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023876","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_103_certificate_103",48,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023928","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_104_certificate_104",4,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023982","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
